Cameron Healthcare Partners - General Ledger
January 1 - December 31, 2025

Date,Account,Debit,Credit,Voucher Type,Voucher No,Against,Party,Remarks
2025-03-31,111006 - Mercury Checking (CHP-4128) - CHP,,88.00,Journal Entry,ACC-JV-2025-00311,420321 - Social Media - Meta - CHP,,Note: FACEBK *BL464P8YE2
2025-03-31,420321 - Social Media - Meta - CHP,97.00,,Journal Entry,ACC-JV-2025-00310,111006 - Mercury Checking (CHP-4128) - CHP,,Note: FACEBK *QM5QJMUYE2
2025-03-31,420321 - Social Media - Meta - CHP,88.00,,Journal Entry,ACC-JV-2025-00311,111006 - Mercury Checking (CHP-4128) - CHP,,Note: FACEBK *BL464P8YE2
2025-04-01,111006 - Mercury Checking (CHP-4128) - CHP,,107.00,Journal Entry,ACC-JV-2025-00309,420321 - Social Media - Meta - CHP,,Note: FACEBK *BK5HLMUYE2
2025-04-01,112000 - Accounts Receivable (A/R) - CHP,"360,000.00",,Journal Entry,ACC-JV-2025-00254,210101 - Deferred MSO Fee Revenue - CHP,Integrative Mind PC,"Note: Per original ASA agreement. 6 month term at $360,000"
2025-04-01,116999 - MSO Consulting Services Receivable - CHP,"200,000.00",,Journal Entry,ACC-JV-2025-00282-1,"510008 - Bliss Lewis - Equity Investment - CHP, 510009 - Cameron One Inc. (As Unit Holder) Equity Investment - CHP",,"Bliss Lewis equity stake
Note: Formation transaction for the MSO: 2/3 owned by Cameron One, Inc. 1/3"
2025-04-01,117000 - Subscription / Capital Contribution Receivable - CHP,"400,000.00",,Journal Entry,ACC-JV-2025-00282-1,"510008 - Bliss Lewis - Equity Investment - CHP, 510009 - Cameron One Inc. (As Unit Holder) Equity Investment - CHP",,"Investment from Cameron One, Inc.
Note: Formation transaction for the MSO: 2/3 owned by Cameron One,"
2025-04-01,210101 - Deferred MSO Fee Revenue - CHP,,"360,000.00",Journal Entry,ACC-JV-2025-00254,Integrative Mind PC,,"Note: Per original ASA agreement. 6 month term at $360,000"
2025-04-01,420321 - Social Media - Meta - CHP,107.00,,Journal Entry,ACC-JV-2025-00309,111006 - Mercury Checking (CHP-4128) - CHP,,Note: FACEBK *BK5HLMUYE2
2025-04-01,510008 - Bliss Lewis - Equity Investment - CHP,,"200,000.00",Journal Entry,ACC-JV-2025-00282-1,"117000 - Subscription / Capital Contribution Receivable - CHP, 116999 - MSO Consulting Services Receivable - CHP",,"Note: Formation transaction for the MSO: 2/3 owned by Cameron One, Inc. 1/3 owned by Bliss Lewis. Co"
2025-04-01,510009 - Cameron One Inc. (As Unit Holder) Equity Investment - CHP,,"400,000.00",Journal Entry,ACC-JV-2025-00282-1,"117000 - Subscription / Capital Contribution Receivable - CHP, 116999 - MSO Consulting Services Receivable - CHP",,"Note: Formation transaction for the MSO: 2/3 owned by Cameron One, Inc. 1/3 owned by Bliss Lewis. Co"
2025-04-02,111006 - Mercury Checking (CHP-4128) - CHP,,118.00,Journal Entry,ACC-JV-2025-00308,420321 - Social Media - Meta - CHP,,Note: FACEBK *AHBCNPLYE2
2025-04-02,112000 - Accounts Receivable (A/R) - CHP,,"360,000.00",Journal Entry,ACC-JV-2025-00705,210101 - Deferred MSO Fee Revenue - CHP,Integrative Mind PC,"Note: The original journal entry here was incorrect. Need to rev rec over time, not in the beginning"
2025-04-02,210101 - Deferred MSO Fee Revenue - CHP,"360,000.00",,Journal Entry,ACC-JV-2025-00705,Integrative Mind PC,,"Note: The original journal entry here was incorrect. Need to rev rec over time, not in the beginning"
2025-04-02,420321 - Social Media - Meta - CHP,118.00,,Journal Entry,ACC-JV-2025-00308,111006 - Mercury Checking (CHP-4128) - CHP,,Note: FACEBK *AHBCNPLYE2
2025-04-03,111006 - Mercury Checking (CHP-4128) - CHP,"2,500.00",,Journal Entry,ACC-JV-2025-00306,221302 - LT Loan Payable - Cameron One - CHP,,Note: Loan to CHP
2025-04-03,111006 - Mercury Checking (CHP-4128) - CHP,,130.00,Journal Entry,ACC-JV-2025-00307,420321 - Social Media - Meta - CHP,,Note: FACEBK *JEDHMNQYE2
2025-04-03,221302 - LT Loan Payable - Cameron One - CHP,,"1,677.14",Journal Entry,ACC-JV-2025-00251,420221 - Indeed Expense - CHP,,Note: accrued expenses associated w indeed recruiting for NP and TMS coordinator through april2025
2025-04-03,221302 - LT Loan Payable - Cameron One - CHP,,"2,500.00",Journal Entry,ACC-JV-2025-00306,111006 - Mercury Checking (CHP-4128) - CHP,,Note: Loan to CHP
2025-04-03,420221 - Indeed Expense - CHP,"1,677.14",,Journal Entry,ACC-JV-2025-00251,221302 - LT Loan Payable - Cameron One - CHP,,Note: accrued expenses associated w indeed recruiting for NP and TMS coordinator through april2025
2025-04-03,420321 - Social Media - Meta - CHP,130.00,,Journal Entry,ACC-JV-2025-00307,111006 - Mercury Checking (CHP-4128) - CHP,,Note: FACEBK *JEDHMNQYE2
2025-04-04,111006 - Mercury Checking (CHP-4128) - CHP,,65.31,Journal Entry,ACC-JV-2025-00301,420083 - Team Meals - CHP,,Note: BANGKOK BOULEVARD
2025-04-04,111006 - Mercury Checking (CHP-4128) - CHP,,241.96,Journal Entry,ACC-JV-2025-00302,420083 - Team Meals - CHP,,Note: LOCANDA MARIELLA
2025-04-04,111006 - Mercury Checking (CHP-4128) - CHP,,143.00,Journal Entry,ACC-JV-2025-00303,420321 - Social Media - Meta - CHP,,Note: FACEBK *5QKYXN4ZE2
2025-04-04,111006 - Mercury Checking (CHP-4128) - CHP,,50.00,Journal Entry,ACC-JV-2025-00304,450001 - Parking & Tolls - CHP,,Note: MP ARMORY LLC
2025-04-04,111006 - Mercury Checking (CHP-4128) - CHP,,101.29,Journal Entry,ACC-JV-2025-00305,420091 - Office Supplies - CHP,,Note: eBay O*07-12916-52195
2025-04-04,420083 - Team Meals - CHP,65.31,,Journal Entry,ACC-JV-2025-00301,111006 - Mercury Checking (CHP-4128) - CHP,,Note: BANGKOK BOULEVARD
2025-04-04,420083 - Team Meals - CHP,241.96,,Journal Entry,ACC-JV-2025-00302,111006 - Mercury Checking (CHP-4128) - CHP,,Note: LOCANDA MARIELLA
2025-04-04,420091 - Office Supplies - CHP,101.29,,Journal Entry,ACC-JV-2025-00305,111006 - Mercury Checking (CHP-4128) - CHP,,Note: eBay O*07-12916-52195
2025-04-04,420321 - Social Media - Meta - CHP,143.00,,Journal Entry,ACC-JV-2025-00303,111006 - Mercury Checking (CHP-4128) - CHP,,Note: FACEBK *5QKYXN4ZE2
2025-04-04,450001 - Parking & Tolls - CHP,50.00,,Journal Entry,ACC-JV-2025-00304,111006 - Mercury Checking (CHP-4128) - CHP,,Note: MP ARMORY LLC
2025-04-05,111006 - Mercury Checking (CHP-4128) - CHP,,10.65,Journal Entry,ACC-JV-2025-00299,420091 - Office Supplies - CHP,,Note: AMAZON MKTPLACE PMTS
2025-04-05,111006 - Mercury Checking (CHP-4128) - CHP,,18.12,Journal Entry,ACC-JV-2025-00300,420091 - Office Supplies - CHP,,Note: AMAZON MKTPLACE PMTS
2025-04-05,111006 - Mercury Checking (CHP-4128) - CHP,,418.00,Journal Entry,ACC-JV-2025-00343,420321 - Social Media - Meta - CHP,,Note: Facebook
2025-04-05,420091 - Office Supplies - CHP,10.65,,Journal Entry,ACC-JV-2025-00299,111006 - Mercury Checking (CHP-4128) - CHP,,Note: AMAZON MKTPLACE PMTS
2025-04-05,420091 - Office Supplies - CHP,18.12,,Journal Entry,ACC-JV-2025-00300,111006 - Mercury Checking (CHP-4128) - CHP,,Note: AMAZON MKTPLACE PMTS
2025-04-05,420321 - Social Media - Meta - CHP,418.00,,Journal Entry,ACC-JV-2025-00343,111006 - Mercury Checking (CHP-4128) - CHP,,Note: Facebook
2025-04-06,111006 - Mercury Checking (CHP-4128) - CHP,,158.00,Journal Entry,ACC-JV-2025-00298,420321 - Social Media - Meta - CHP,,Note: FACEBK *CAW4WMUYE2
2025-04-06,420321 - Social Media - Meta - CHP,158.00,,Journal Entry,ACC-JV-2025-00298,111006 - Mercury Checking (CHP-4128) - CHP,,Note: FACEBK *CAW4WMUYE2
2025-04-07,111006 - Mercury Checking (CHP-4128) - CHP,,174.00,Journal Entry,ACC-JV-2025-00296,420321 - Social Media - Meta - CHP,,Note: FACEBK *YLPMYPLYE2
2025-04-07,111006 - Mercury Checking (CHP-4128) - CHP,,"1,413.19",Journal Entry,ACC-JV-2025-00297,420091 - Office Supplies - CHP,,Note: AMAZON MKTPLACE PMTS
2025-04-07,420091 - Office Supplies - CHP,"1,413.19",,Journal Entry,ACC-JV-2025-00297,111006 - Mercury Checking (CHP-4128) - CHP,,Note: AMAZON MKTPLACE PMTS
