Posting Date,Account,Debit,Credit,Voucher Type,Voucher No,Against,Remarks
"2025-08-15","212004 - Mercury Credit Card (CP) - CO",0.00,24.75,"Journal Entry","ACC-JV-2026-00221","420083 - Team Meals - CO","Note: Lyberry Coffee"
"2025-08-13","420083 - Team Meals - CO",15.05,0.00,"Journal Entry","ACC-JV-2026-00222","Mercury Bank","Note: Lyberry Coffee"
"2025-08-13","212004 - Mercury Credit Card (CP) - CO",0.00,15.05,"Journal Entry","ACC-JV-2026-00222","420083 - Team Meals - CO","Note: Lyberry Coffee"
"2025-08-13","420083 - Team Meals - CO",26.33,0.00,"Journal Entry","ACC-JV-2026-00223","Mercury Bank","Note: Lyberry Coffee"
"2025-08-13","212004 - Mercury Credit Card (CP) - CO",0.00,26.33,"Journal Entry","ACC-JV-2026-00223","420083 - Team Meals - CO","Note: Lyberry Coffee"
"2025-08-09","420214 - Software & Apps - CO",25.95,0.00,"Journal Entry","ACC-JV-2026-00224","Mercury Bank","Note: Notion"
"2025-08-09","212004 - Mercury Credit Card (CP) - CO",0.00,25.95,"Journal Entry","ACC-JV-2026-00224","420214 - Software & Apps - CO","Note: Notion"
"2025-08-08","450001 - Parking & Tolls - CO",20.00,0.00,"Journal Entry","ACC-JV-2026-00225","Mercury Bank","Note: ParkWhiz"
"2025-08-08","212004 - Mercury Credit Card (CP) - CO",0.00,20.00,"Journal Entry","ACC-JV-2026-00225","450001 - Parking & Tolls - CO","Note: ParkWhiz"
"2025-08-03","420410 - Professional Fees (Guidant) - CO",149.00,0.00,"Journal Entry","ACC-JV-2026-00226","Mercury Bank","Note: Guidant Financial"
"2025-08-03","212004 - Mercury Credit Card (CP) - CO",0.00,149.00,"Journal Entry","ACC-JV-2026-00226","420410 - Professional Fees (Guidant) - CO","Note: Guidant Financial"
"2025-08-02","420083 - Team Meals - CO",5.30,0.00,"Journal Entry","ACC-JV-2026-00227","Mercury Bank","Note: Jammin' Crepes"
"2025-08-02","212004 - Mercury Credit Card (CP) - CO",0.00,5.30,"Journal Entry","ACC-JV-2026-00227","420083 - Team Meals - CO","Note: Jammin' Crepes"
"2025-08-02","420214 - Software & Apps - CO",17.20,0.00,"Journal Entry","ACC-JV-2026-00228","Mercury Bank","Note: Google Workspace"
"2025-08-02","212004 - Mercury Credit Card (CP) - CO",0.00,17.20,"Journal Entry","ACC-JV-2026-00228","420214 - Software & Apps - CO","Note: Google Workspace"
"2025-08-01","111004 - Mercury Checking (CP-0942) - CO",7.15,0.00,"Journal Entry","ACC-JV-2026-00176","321001 - Credit Card Rewards - CO","Note: Mercury IO Cashback"
"2025-08-01","321001 - Credit Card Rewards - CO",0.00,7.15,"Journal Entry","ACC-JV-2026-00176","111004 - Mercury Checking (CP-0942) - CO","Note: Mercury IO Cashback"
"2025-08-01","420214 - Software & Apps - CO",16.34,0.00,"Journal Entry","ACC-JV-2026-00229","Mercury Bank","Note: DocuSign"
"2025-08-01","212004 - Mercury Credit Card (CP) - CO",0.00,16.34,"Journal Entry","ACC-JV-2026-00229","420214 - Software & Apps - CO","Note: DocuSign"
"2025-07-30","420083 - Team Meals - CO",39.32,0.00,"Journal Entry","ACC-JV-2026-00230","Mercury Bank","Note: Over Greens"
"2025-07-30","212004 - Mercury Credit Card (CP) - CO",0.00,39.32,"Journal Entry","ACC-JV-2026-00230","420083 - Team Meals - CO","Note: Over Greens"
"2025-07-30","420083 - Team Meals - CO",16.77,0.00,"Journal Entry","ACC-JV-2026-00231","Mercury Bank","Note: Connecticut Muffin"
"2025-07-30","212004 - Mercury Credit Card (CP) - CO",0.00,16.77,"Journal Entry","ACC-JV-2026-00231","420083 - Team Meals - CO","Note: Connecticut Muffin"
"2025-07-30","420083 - Team Meals - CO",17.01,0.00,"Journal Entry","ACC-JV-2026-00232","Mercury Bank","Note: Cuppa Hive Coffee"
"2025-07-30","212004 - Mercury Credit Card (CP) - CO",0.00,17.01,"Journal Entry","ACC-JV-2026-00232","420083 - Team Meals - CO","Note: Cuppa Hive Coffee"
"2025-07-29","420083 - Team Meals - CO",46.43,0.00,"Journal Entry","ACC-JV-2026-00233","Mercury Bank","Note: Thaism"
"2025-07-29","212004 - Mercury Credit Card (CP) - CO",0.00,46.43,"Journal Entry","ACC-JV-2026-00233","420083 - Team Meals - CO","Note: Thaism"
"2025-07-24","420092 - Postage - CO",49.00,0.00,"Journal Entry","ACC-JV-2026-00234","Mercury Bank","Note: STABLE"
"2025-07-24","212004 - Mercury Credit Card (CP) - CO",0.00,49.00,"Journal Entry","ACC-JV-2026-00234","420092 - Postage - CO","Note: STABLE"
"2025-07-09","420214 - Software & Apps - CO",25.95,0.00,"Journal Entry","ACC-JV-2026-00235","Mercury Bank","Note: Notion"
"2025-07-09","212004 - Mercury Credit Card (CP) - CO",0.00,25.95,"Journal Entry","ACC-JV-2026-00235","420214 - Software & Apps - CO","Note: Notion"
"2025-07-03","420410 - Professional Fees (Guidant) - CO",149.00,0.00,"Journal Entry","ACC-JV-2026-00236","Mercury Bank","Note: Guidant Financial"
"2025-07-03","212004 - Mercury Credit Card (CP) - CO",0.00,149.00,"Journal Entry","ACC-JV-2026-00236","420410 - Professional Fees (Guidant) - CO","Note: Guidant Financial"
"2025-07-02","420214 - Software & Apps - CO",15.31,0.00,"Journal Entry","ACC-JV-2026-00237","Mercury Bank","Note: Google Workspace"
"2025-07-02","212004 - Mercury Credit Card (CP) - CO",0.00,15.31,"Journal Entry","ACC-JV-2026-00237","420214 - Software & Apps - CO","Note: Google Workspace"
"2025-07-01","111004 - Mercury Checking (CP-0942) - CO",4.44,0.00,"Journal Entry","ACC-JV-2026-00177","321001 - Credit Card Rewards - CO","Note: Mercury IO Cashback"
"2025-07-01","321001 - Credit Card Rewards - CO",0.00,4.44,"Journal Entry","ACC-JV-2026-00177","111004 - Mercury Checking (CP-0942) - CO","Note: Mercury IO Cashback"
"2025-07-01","420083 - Team Meals - CO",100.00,0.00,"Journal Entry","ACC-JV-2026-00238","Mercury Bank","Note: Busy Stelios"
"2025-07-01","212004 - Mercury Credit Card (CP) - CO",0.00,100.00,"Journal Entry","ACC-JV-2026-00238","420083 - Team Meals - CO","Note: Busy Stelios"
"2025-07-01","420214 - Software & Apps - CO",16.34,0.00,"Journal Entry","ACC-JV-2026-00239","Mercury Bank","Note: DocuSign"
"2025-07-01","212004 - Mercury Credit Card (CP) - CO",0.00,16.34,"Journal Entry","ACC-JV-2026-00239","420214 - Software & Apps - CO","Note: DocuSign"
"2025-06-27","420083 - Team Meals - CO",36.81,0.00,"Journal Entry","ACC-JV-2026-00240","Mercury Bank","Note: Over Greens"
"2025-06-27","212004 - Mercury Credit Card (CP) - CO",0.00,36.81,"Journal Entry","ACC-JV-2026-00240","420083 - Team Meals - CO","Note: Over Greens"
"2025-06-25","450001 - Parking & Tolls - CO",37.10,0.00,"Journal Entry","ACC-JV-2026-00241","Mercury Bank","Note: ParkWhiz"
"2025-06-25","212004 - Mercury Credit Card (CP) - CO",0.00,37.10,"Journal Entry","ACC-JV-2026-00241","450001 - Parking & Tolls - CO","Note: ParkWhiz"
"2025-06-24","420092 - Postage - CO",24.50,0.00,"Journal Entry","ACC-JV-2026-00242","Mercury Bank","Note: STABLE"
"2025-06-24","212004 - Mercury Credit Card (CP) - CO",0.00,24.50,"Journal Entry","ACC-JV-2026-00242","420092 - Postage - CO","Note: STABLE"
"2025-06-24","450001 - Parking & Tolls - CO",30.74,0.00,"Journal Entry","ACC-JV-2026-00243","Mercury Bank","Note: ParkWhiz"
"2025-06-24","212004 - Mercury Credit Card (CP) - CO",0.00,30.74,"Journal Entry","ACC-JV-2026-00243","450001 - Parking & Tolls - CO","Note: ParkWhiz"
"2025-06-10","420083 - Team Meals - CO",13.83,0.00,"Journal Entry","ACC-JV-2026-00244","Mercury Bank","Note: Kalas Coffee"
"2025-06-10","212004 - Mercury Credit Card (CP) - CO",0.00,13.83,"Journal Entry","ACC-JV-2026-00244","420083 - Team Meals - CO","Note: Kalas Coffee"
"2025-06-09","420214 - Software & Apps - CO",25.95,0.00,"Journal Entry","ACC-JV-2026-00245","Mercury Bank","Note: Notion"
"2025-06-09","212004 - Mercury Credit Card (CP) - CO",0.00,25.95,"Journal Entry","ACC-JV-2026-00245","420214 - Software & Apps - CO","Note: Notion"
"2025-06-07","420083 - Team Meals - CO",40.72,0.00,"Journal Entry","ACC-JV-2026-00246","Mercury Bank","Note: Crave and Co Restauran"
"2025-06-07","212004 - Mercury Credit Card (CP) - CO",0.00,40.72,"Journal Entry","ACC-JV-2026-00246","420083 - Team Meals - CO","Note: Crave and Co Restauran"
"2025-06-06","434004 - Taxis or Shared Rides - CO",15.25,0.00,"Journal Entry","ACC-JV-2026-00247","Mercury Bank","Note: Metropolitan Transportation Authority"
"2025-06-06","212004 - Mercury Credit Card (CP) - CO",0.00,15.25,"Journal Entry","ACC-JV-2026-00247","434004 - Taxis or Shared Rides - CO","Note: Metropolitan Transportation Authority"
"2025-06-06","434004 - Taxis or Shared Rides - CO",11.25,0.00,"Journal Entry","ACC-JV-2026-00248","Mercury Bank","Note: Metropolitan Transportation Authority"
"2025-06-06","212004 - Mercury Credit Card (CP) - CO",0.00,11.25,"Journal Entry","ACC-JV-2026-00248","434004 - Taxis or Shared Rides - CO","Note: Metropolitan Transportation Authority"
"2025-06-03","420083 - Team Meals - CO",12.20,0.00,"Journal Entry","ACC-JV-2026-00249","Mercury Bank","Note: Kalas Coffee"
"2025-06-03","212004 - Mercury Credit Card (CP) - CO",0.00,12.20,"Journal Entry","ACC-JV-2026-00249","420083 - Team Meals - CO","Note: Kalas Coffee"
"2025-06-03","420083 - Team Meals - CO",15.10,0.00,"Journal Entry","ACC-JV-2026-00250","Mercury Bank","Note: Kalas Coffee"
"2025-06-03","212004 - Mercury Credit Card (CP) - CO",0.00,15.10,"Journal Entry","ACC-JV-2026-00250","420083 - Team Meals - CO","Note: Kalas Coffee"
"2025-06-02","420214 - Software & Apps - CO",15.31,0.00,"Journal Entry","ACC-JV-2026-00251","Mercury Bank","Note: Google Workspace"
"2025-06-02","212004 - Mercury Credit Card (CP) - CO",0.00,15.31,"Journal Entry","ACC-JV-2026-00251","420214 - Software & Apps - CO","Note: Google Workspace"
"2025-06-01","111004 - Mercury Checking (CP-0942) - CO",2.62,0.00,"Journal Entry","ACC-JV-2026-00178","321001 - Credit Card Rewards - CO","Note: Mercury IO Cashback"
"2025-06-01","321001 - Credit Card Rewards - CO",0.00,2.62,"Journal Entry","ACC-JV-2026-00178","111004 - Mercury Checking (CP-0942) - CO","Note: Mercury IO Cashback"
"2025-06-01","420214 - Software & Apps - CO",16.34,0.00,"Journal Entry","ACC-JV-2026-00252","Mercury Bank","Note: DocuSign"
"2025-06-01","212004 - Mercury Credit Card (CP) - CO",0.00,16.34,"Journal Entry","ACC-JV-2026-00252","420214 - Software & Apps - CO","Note: DocuSign"
"2025-05-29","434004 - Taxis or Shared Rides - CO",14.00,0.00,"Journal Entry","ACC-JV-2026-00253","Mercury Bank","Note: Metropolitan Transportation Authority"
"2025-05-29","212004 - Mercury Credit Card (CP) - CO",0.00,14.00,"Journal Entry","ACC-JV-2026-00253","434004 - Taxis or Shared Rides - CO","Note: Metropolitan Transportation Authority"
"2025-05-29","434004 - Taxis or Shared Rides - CO",14.00,0.00,"Journal Entry","ACC-JV-2026-00254","Mercury Bank","Note: Metropolitan Transportation Authority"
"2025-05-29","212004 - Mercury Credit Card (CP) - CO",0.00,14.00,"Journal Entry","ACC-JV-2026-00254","434004 - Taxis or Shared Rides - CO","Note: Metropolitan Transportation Authority"
"2025-05-24","420092 - Postage - CO",24.50,0.00,"Journal Entry","ACC-JV-2026-00255","Mercury Bank","Note: STABLE"
"2025-05-24","212004 - Mercury Credit Card (CP) - CO",0.00,24.50,"Journal Entry","ACC-JV-2026-00255","420092 - Postage - CO","Note: STABLE"
"2025-05-06","218000 - Subscription / Equity Commitment Payable - CO",375000.00,0.00,"Journal Entry","ACC-JV-2026-00257","111004 - Mercury Checking (CP-0942) - CO","Note: Equity transfer CO -> CHP $375,000 (2025-05-06)"
"2025-05-06","111004 - Mercury Checking (CP-0942) - CO",0.00,375000.00,"Journal Entry","ACC-JV-2026-00257","218000 - Subscription / Equity Commitment Payable - CO","Note: Equity transfer CO -> CHP $375,000 (2025-05-06)"
"2025-05-05","218000 - Subscription / Equity Commitment Payable - CO",5000.00,0.00,"Journal Entry","ACC-JV-2026-00256","111004 - Mercury Checking (CP-0942) - CO","Note: Equity transfer CO -> CHP $5,000 (2025-05-05)"
